track,dataset_id,tier,scale,algorithm,status,qps,lat_p95_ms,index_mb,rss_mb,bytes_per_insert,recall_at_k,error_bits_min_hamming,qps_per_index_mb,qps_per_rss_mb
core,core:replay,edge,1M,core256/probe,ok,24043085.208694,3.7e-05,12.111684799194336,58.17578125,63.50011,,,1985114.8380523687,413283.4092141049
core,core:replay,edge,1M,core256/probe,ok,23917033.723376,3.8e-05,12.111684799194336,58.17578125,63.50011,,,1974707.4102330462,411116.6744903146
core,core:replay,edge,1M,core256/predict,ok,23275267.747043,3.7e-05,12.111684799194336,58.17578125,63.50011,,,1921720.0689198303,400085.1771465123
core,core:replay,edge,1M,core256/insert,ok,1354336.143495,0.001105,12.111684799194336,58.17578125,63.50011,,,111820.62330296854,23280.0680007198
core,core:replay,edge,1M,core256/insert,ok,1301165.664224,0.001136,12.111684799194336,58.17578125,63.50011,,,107430.60819338304,22366.105555720405
core,core:replay,edge,1M,core256/insert,ok,1217039.467762,0.000928,12.111684799194336,58.17578125,63.50011,,,100484.73750265998,20920.036510244543
core,core:replay,edge,1M,core256/insert,ok,1192956.147481,0.000957,12.111684799194336,58.17578125,63.50011,,,98496.30066003327,20506.061488963674
core,core:replay,edge,1M,core256/insert,ok,1190842.941749,0.000925,12.111684799194336,58.17578125,63.50011,,,98321.82404781657,20469.736996424093
core,core:replay,server,1M,core256/match_batch,ok,101462222.824231,9.856e-06,12.111684799194336,58.17578125,63.50011,,,8377217.910342269,1744062.9183511136
core,core:replay,server,1M,core256/match_batch,ok,98738614.20355,1.0128e-05,12.111684799194336,58.17578125,63.50011,,,8152343.446893371,1697246.037474572
core,core:replay,server,1M,core256/match_batch,ok,89053697.598578,1.1229e-05,12.111684799194336,58.17578125,63.50011,,,7352709.31130092,1530769.2597351756
core,core:replay,server,1M,core256/match_batch,ok,86868746.536109,1.1512e-05,12.111684799194336,58.17578125,63.50011,,,7172309.053310855,1493211.5163663402
core,core:replay,server,1M,core256/match_batch,ok,85504287.184959,1.1695e-05,12.111684799194336,58.17578125,63.50011,,,7059652.608417179,1469757.4376787418
core,core:replay,server,1M,core256/predict,ok,24891181.9752,3.8e-05,12.111684799194336,58.17578125,63.50011,,,2055137.8596688507,427861.5850165313
core,core:replay,server,1M,core256/predict,ok,24385194.382919,3.8e-05,12.111684799194336,58.17578125,63.50011,,,2013361.046560681,419164.0208169787
core,core:replay,server,1M,core256/predict,ok,24274151.293746,3.7e-05,12.111684799194336,58.17578125,63.50011,,,2004192.7854133642,417255.2696702461
core,core:replay,server,1M,core256/probe,ok,24102521.521443,3.7e-05,12.111684799194336,58.17578125,63.50011,,,1990022.1910535756,414305.07684747246
core,core:replay,server,1M,core256/predict,ok,23806199.443816,3.8e-05,12.111684799194336,58.17578125,63.50011,,,1965556.3894297825,409211.5126312291
core,core:replay,server,1M,core256/probe,ok,23790307.471881,3.8e-05,12.111684799194336,58.17578125,63.50011,,,1964244.270414263,408938.3410193739
core,core:replay,server,1M,core256/predict,ok,23593756.101198,3.7e-05,12.111684799194336,58.17578125,63.50011,,,1948016.0268674963,405559.7637753769
core,core:replay,server,1M,core256/probe,ok,23145179.993121,4.1e-05,12.111684799194336,58.17578125,63.50011,,,1910979.3870016008,397849.06185717956
core,core:replay,server,1M,core256/probe,ok,23058085.507913,3.7e-05,12.111684799194336,58.17578125,63.50011,,,1903788.4398582445,396351.97005477257
core,core:replay,server,1M,core256/probe,ok,19118833.972906,4.3e-05,12.111684799194336,58.17578125,63.50011,,,1578544.545196369,328639.05842099886
core,core:replay,server,1M,core256/insert,ok,1263904.913097,0.001186,12.111684799194336,58.17578125,63.50011,,,104354.1781388725,21725.619939087625
core,core:replay,server,1M,core256/insert,ok,1195285.742828,0.000955,12.111684799194336,58.17578125,63.50011,,,98688.64345838243,20546.105563954075
core,core:replay,server,1M,core256/insert,ok,1189241.736317,0.000923,12.111684799194336,58.17578125,63.50011,,,98189.62068729759,20442.213422221983
core,core:replay,server,1M,core256/insert,ok,1181049.726445,0.000971,12.111684799194336,58.17578125,63.50011,,,97513.24824136464,20301.398641638352
core,core:replay,server,1M,core256/insert,ok,1109013.701271,0.001199,12.111684799194336,58.17578125,63.50011,,,91565.60128981982,19063.150978672937
online,online:synthetic_drift,desktop,1M,core256/online_delayed,ok,34593.009614,0.001009,2.4223995208740234,59.49609375,63.50175,,96.668169296,14280.472447219827,581.4332913915042
online,online:synthetic_drift,edge,1M,core256/online_delayed,ok,35093.895485,0.000984,2.4223995208740234,59.49609375,63.50175,,96.668169296,14487.245057057231,589.8520940292824
online,online:synthetic_drift,server,1M,core256/online_delayed,ok,38040.678162,0.001169,2.4223995208740234,59.49609375,63.50175,,96.668169296,15703.717670929269,639.3811049485917
